Word	Type
자꾸	Noun
눈	Noun
이	Josa
가다	Verb
하얗다	Adjective
그	Noun
얼굴	Noun
에	Josa
질리다	Verb
않다	Verb
넌	Noun
왜	Noun
슬쩍	Adverb
웃다	Verb
땐	Noun
나	Noun
정말	Noun
미치다	Adjective
어쩜	Noun
그리다	Verb
예쁘다	Adjective
babe	Alpha
뭐라다	Verb
이	Noun
기분	Noun
널	Noun
보다	Verb
마음	Noun
저리다	Adjective
뻐근하다	Adjective
오	Noun
어떻다	Adjective
단어	Noun
로	Josa
설명	Noun
하다	Verb
수	Noun
있다	Adjective
아마	Noun
세상	Noun
말론	Noun
모자라	Noun
가만	Adverb
서다	Verb
해도	Noun
다리	Noun
내게로	Noun
걸어오다	Verb
안다	Verb
너	Noun
